employee_id,first_name,last_name,email,phone_number,department,position,hire_date,base_salary,bonus,currency,annual_leave_balance,sick_leave_balance,performance_rating,review_period,last_review_date,password_hash,last_login
11,Julia,Manning,tgomez@parker.biz,(284)677-1945x5414,IT,Executive,20/10/2015,57307.39,2868.29,EGP,29,3,2.44,Q4 2023,05/09/2024,5f04f31de30db61df5586700afa7dd5199eac4d0c77243fa7c04f99d95d5a15c,18/08/2024 10:47
12,Thomas,Hamilton,jonathan43@hotmail.com,(105)702-0772,Marketing,Executive,28/12/2021,119893.5,1242.6,EGP,1,1,1.59,Q3 2024,25/02/2024,a38057817b9bc52106c51e28b535eed4086d70e19cda8bc4bd3df0a9a746c67e,26/05/2024 23:24
13,Marie,Moore,douglas14@yahoo.com,495.778.0674x4968,Marketing,Coordinator,08/08/2024,43492.75,9395.88,EUR,29,13,2.71,Q4 2023,26/01/2024,f63064285b96100f601535a47dbf3df8fc52e6ff49a2eb0a4826a9d363ecad67,02/07/2024 15:44
14,Frank,White,mark30@gmail.com,(600)146-2868,IT,Analyst,21/12/2022,90201.35,8748.76,EUR,10,6,2.32,Q2 2024,26/06/2024,e142ee9eb4a0ef63cb4b4ecb64742906c29f488e1878b1e0da5882d13b723812,21/08/2024 6:57
15,Andrea,Benson,gwebb@hotmail.com,001-079-887-4584x434,IT,Executive,28/07/2021,118690.74,7689.23,EGP,21,4,3.64,Q1 2024,09/05/2024,569fec5f2f60f219828a952fa6acb58d0543c3bdb0f8fdd400fb655fe2fb97a5,05/07/2024 3:02
16,Brandon,Gilbert,megan04@campbell.com,010-345-9042x293,HR,Manager,21/02/2020,108926.89,4537.53,EGP,30,2,4.73,Q4 2023,03/08/2024,92e90ca2a922011591c50e88bf88db2d5142962eb89a063ff3a239cdca831c5f,07/05/2024 17:24
17,Erica,Graham,ballen@cameron.com,(943)613-5823x143,IT,Manager,22/11/2021,31850.38,5781.34,EGP,8,3,2.82,Q3 2024,17/07/2024,c6e4f2cab1ea11326ffd8b3954e5fb77659c84210543e2b81f9931c89de5c288,10/05/2024 3:50
18,Paul,Long,kathryn80@tanner-beasley.com,+1-970-991-2119x302,HR,Coordinator,09/07/2022,47818.49,3124.62,EUR,30,15,3.25,Q2 2024,08/04/2024,4f01834db5ee13c5728070b7333b40532563db7de51ea86b111f3cf40d5cf757,04/01/2024 3:00
19,Jacqueline,Jensen,brittanycrawford@gmail.com,+1-300-631-6768x4348,Sales,Executive,04/01/2022,116848.09,6524.35,EGP,2,15,4.96,Q3 2024,26/05/2024,c016a9e4a2703100026632e377a61e2a62d1461a6beb1935638b035867bd7858,31/07/2024 6:06
20,Travis,Nelson,garrett81@hotmail.com,2090979161,Marketing,Executive,08/05/2022,44231.09,1800.34,EGP,18,6,4.35,Q3 2024,23/06/2024,6fd4cffc3b7f867088ae5cd1bed768b302becde5cbfa191dd0acc7519cd3113c,11/01/2024 14:43
21,Alyssa,Nelson,bowenkelly@gmail.com,+1-059-263-2892x9638,Finance,Analyst,02/11/2017,83864.26,9634.43,USD,20,15,4.85,Q3 2024,04/08/2024,8b3c00b5e996d7b8b02e3ba8207bd7c9b972b405687e0c4b4e3bd31eb57140a5,19/09/2024 16:37
22,Eric,Bennett,gabriel04@conley.info,449.505.8072x1567,Finance,Executive,12/01/2019,70866.5,9089.98,USD,22,15,2.43,Q1 2024,14/02/2024,13068784a283619cff236ee9f0918cf56a2f2db962b1618ab250fc49212a7614,25/01/2024 4:22
23,Linda,Howard,sarah57@yahoo.com,+1-369-236-6212x44391,HR,Engineer,17/06/2024,98197.76,2260.51,EUR,5,13,3.14,Q4 2023,30/05/2024,0405ef75631a8c304b7cee70eb9b72d4919dbdaf2efc18f81afc187f25274c98,20/02/2024 2:38
24,Laura,Roberts,julian55@hotmail.com,956.649.0612x86972,Marketing,Manager,26/05/2023,60972.27,9075.92,EGP,0,5,3.09,Q2 2024,16/09/2024,6596635b7078608a704d39dac4bcd202d54a335446eae530a332c0d3e0e8529e,27/08/2024 11:51
25,Carla,Randolph,changdevin@yahoo.com,589-119-2485x607,HR,Coordinator,27/10/2019,108837.16,4699.44,EUR,29,5,1.16,Q1 2024,15/06/2024,029ef77e651f827a963c6bf48e0763b72c16eec4952b9ebdb1b4de64e4d4d1d6,18/07/2024 23:55
26,Joseph,Atkinson,qwilliams@whitaker.info,736-427-2730,HR,Executive,03/05/2022,33607.5,8929.04,USD,14,4,4.05,Q2 2024,19/01/2024,f24012d48fea90c9d1b34ffa16ed69df53e4d76f58a80989d7bbd72558c115ec,23/09/2024 7:14
27,Bradley,Perry,franciscolawson@gonzalez-allen.com,(116)944-4545x2250,IT,Manager,23/04/2018,53616.41,8355.73,EGP,27,10,2.57,Q3 2024,10/03/2024,7dee65ed0190c174178ffa9c44edd81919c9fd770f046de8b5137e0d7153606b,25/09/2024 14:18
28,Sylvia,Wilson,jamie55@white.com,012.869.9710x6488,IT,Engineer,19/01/2020,59665.28,3930.33,USD,27,12,3.6,Q3 2024,02/03/2024,35d22e766868996f6353cd3b404495637fae9bd994ce68ddc89380e9609f69fa,19/07/2024 5:11
29,Morgan,Saunders,linda68@campbell.com,176.426.9865x00433,HR,Engineer,08/07/2019,91281,4842.02,USD,4,2,4.06,Q2 2024,26/02/2024,dff9aa47454b8465adb973a31828252087eea2a3b5618794a43d45b5bfeb09cd,01/01/2024 3:42
30,Brett,Walsh,kevin05@melton.info,901.330.8863x3607,Sales,Analyst,14/01/2023,95158.28,2977.83,EGP,14,11,2.41,Q2 2024,11/06/2024,8225c6bb8a08005339d434611529a873e5508202404b3fced91fa8fa59756232,06/06/2024 5:29
31,Raven,Dickerson,fgallagher@yahoo.com,243-424-2713,Marketing,Coordinator,26/08/2021,115227.21,5905.3,EUR,2,7,3.43,Q2 2024,28/05/2024,0daf2faf368598261bc522afd06b3b46a19447fdec7bcca6da3992ba51350eef,10/01/2024 15:18
32,Matthew,Bradford,monicasmith@hotmail.com,480-062-1653x05404,Marketing,Analyst,24/08/2024,68493.62,4572.93,USD,28,3,4.72,Q4 2023,07/09/2024,0bc20fba032d0af822aef4be939f3a4798a69c88991383909327a46970d7d58a,17/03/2024 5:38
33,John,Burgess,vgibson@davis.com,259-161-5535,Marketing,Manager,05/10/2019,62420.98,7069.66,EUR,27,4,1.83,Q1 2024,03/04/2024,523c2ec3fa73b8e45e5e89e26afe0c325c2be9d40ba316aad25e099e88da88e4,03/01/2024 13:23
34,Alejandro,Berry,angelagregory@yahoo.com,592-109-0814x087,IT,Manager,26/02/2016,81091.42,6789.36,EGP,16,7,4.12,Q3 2024,04/06/2024,92aa4cb23a9b4ac14be14a5e48ec8a080307f3acb5232d775ff13045880c3332,01/01/2024 8:18
35,Christine,Bell,betholson@jones-nelson.com,-7926,HR,Manager,01/09/2022,105763.64,7918.62,USD,1,2,4.6,Q2 2024,19/04/2024,37ad4548ce093d783dd92cf96e90ddaf13f0cecc65dffa32985660c5f4b29466,04/02/2024 18:52
36,Nancy,Wood,hillnicholas@gmail.com,632-564-3748,HR,Coordinator,02/03/2023,79514.66,7550.08,EGP,25,5,4.15,Q4 2023,14/09/2024,add76a9622919ea873e922e2a9a956d1013b4c628afabb2e33fcb752eda286ae,05/05/2024 13:14
37,Amber,Gates,meltonelizabeth@stewart.com,599-899-2457x658,Sales,Executive,09/01/2015,107864,7945.94,EGP,22,3,4.75,Q3 2024,14/08/2024,72874e09f42f8d5527c89464369bc326ce361875a2eb03eaf9cc06d6a8a3bb51,30/01/2024 5:14
38,Taylor,Mendoza,nicholecastro@yahoo.com,446-413-5463x9004,HR,Engineer,19/02/2016,53900.19,8367.85,EUR,8,1,3.13,Q3 2024,04/04/2024,585eae76ed90812bfc14929728e6b8c0a80ee5b10fbf2a4d50b38f08e5187bdb,02/06/2024 11:38
39,Michael,Glover,matthew42@pitts-moore.org,298-904-9998,Finance,Analyst,28/04/2017,64839.23,4332.36,EUR,18,4,2.53,Q2 2024,17/05/2024,c425b9e784a32151f0a28c58f612e9560412021f138d9ec217dad784f1386c8d,25/02/2024 5:47
40,Wayne,Ryan,dawnmendoza@yahoo.com,6512569170,HR,Engineer,25/06/2017,70469.28,1713.74,EGP,15,14,2.22,Q3 2024,03/02/2024,48d997378ff1e08f6a0e9fcf1c1ecdaf9c175c8f0ea1c10171b64f9b9d6e84e3,06/06/2024 2:23
41,Nicole,Nolan,jameskrueger@conner.com,062.381.3160x967,Finance,Executive,13/01/2023,66667.16,4533.93,EGP,3,9,4.21,Q4 2023,04/08/2024,a4054fcc593f4c2471d626df547df29be489282eb0abb338d7aa268e6825d79c,16/05/2024 15:06
42,Patrick,Wright,ksexton@gmail.com,532-767-9958,IT,Manager,10/03/2020,102684.59,6952.64,EGP,6,0,1.22,Q3 2024,19/05/2024,9c0cc3fb93170924644c4a75e321b61b74b8d05d41790fd45f174c5ecde0a506,29/03/2024 4:12
43,Greg,Andrews,pjones@yahoo.com,001-259-576-9506x83879,Sales,Engineer,16/10/2014,60030.23,1934.36,EGP,18,0,1.93,Q1 2024,16/09/2024,f98498b756fccb969dbaaa18b230ddda6afa5ffa1438e6867daf4eaa7b9c6c7d,07/05/2024 13:40
44,James,Hoffman,linda08@miller.biz,(706)617-3317x36247,IT,Analyst,24/06/2024,94314.05,4036.29,USD,1,15,3.1,Q4 2023,04/03/2024,40d03fda53830fb9a4132efc0735d16ed082ae7eaa257f61a2e335c105d33721,30/06/2024 1:40
45,Zachary,Davis,joshua48@hotmail.com,(106)351-4113x24672,Marketing,Manager,01/03/2024,41812.94,6748.87,USD,28,5,1.12,Q2 2024,07/02/2024,9abdc4718e6fafd037f588d00936c5d3ae302c3eed1488ae108b897a96b0b004,08/03/2024 7:48
46,Yvette,Smith,kathy21@hotmail.com,+1-658-351-2600x141,Finance,Executive,09/07/2015,45941.47,6583.43,EGP,9,13,3.08,Q4 2023,22/04/2024,4f621c5adefa98d91a5f27e0ee93703cde8ad5024d9a4ed34075fe7813a5dcd6,05/04/2024 8:51
47,Kyle,Gonzalez,jpayne@yahoo.com,956-986-2974x81038,Sales,Analyst,08/09/2023,64664.37,8629.97,EGP,20,2,3.93,Q3 2024,12/01/2024,49684ed238db05cdf71123022fc80ba4f465703f81a25a885f996090fa35efaf,24/08/2024 16:51
48,Ashley,Nunez,williamadams@ho-solis.com,001-760-757-1913x62436,HR,Manager,27/01/2019,31016.33,8469.66,EGP,15,5,3.15,Q1 2024,21/09/2024,3030149f3d9c28f87097924dcef752a78a4fc280a6fc096a58a920c56a3439dc,29/09/2024 21:52
49,Yolanda,Alvarado,hudsonbobby@meyer.com,908.502.6046x710,Sales,Executive,22/11/2022,71847.37,2390.15,EUR,26,15,4.18,Q1 2024,16/04/2024,e2ecf1a7c88e0ce75f304789241a12caf299bb20d76e6748c40c8b8e90dfd6b8,02/05/2024 16:12
50,James,Watts,lgaines@hall.com,(221)740-6671x39594,IT,Coordinator,08/12/2023,71781.42,6352.02,USD,1,9,1.68,Q3 2024,16/07/2024,e04ef65f1a26809372d3917bd64fb4ac209c8e735666f5088ce6da9ae41be1e7,01/10/2024 1:11
51,Justin,Bennett,pamela80@hotmail.com,438-780-8631x4011,IT,Manager,26/12/2016,37029.05,3129.16,USD,21,3,2.59,Q2 2024,26/02/2024,09776f2d44403851ae2e89b10954690613ab05f26c254feb37d3b4d31c738dda,03/10/2024 22:25
52,Richard,Roberson,rushstephen@wright-adams.com,+1-211-420-4599x94730,Marketing,Engineer,26/09/2020,60353.69,2105.36,USD,22,4,3.86,Q2 2024,06/07/2024,00c8b7c978072e1ef4b83ba0f2f088118d1989e7c669a21107d9e53b24602f7d,26/09/2024 9:03
53,Cody,Harrison,keithvaughn@williams-rodgers.biz,001-543-276-7309,Sales,Analyst,20/04/2016,105595.41,1875.13,EGP,8,12,1.74,Q3 2024,09/09/2024,a3eb834928909c4dc2670770c1d512673a8db75b2cbce0116fe6c8108b685fc7,21/09/2024 12:33
54,Jeremy,Francis,canderson@greene.com,001-813-775-5511x5499,Sales,Manager,25/12/2018,43547.79,7702.36,USD,8,12,1.75,Q1 2024,15/05/2024,1ed7badbb8c0baf7e9577d15dc10dca3dc2979d5c00883bd053b9be49bcb3e03,10/09/2024 10:31
55,Thomas,Black,kristen71@yahoo.com,862-878-0045x91829,Sales,Coordinator,04/01/2019,59250.92,1039.21,EUR,6,12,4.88,Q1 2024,21/05/2024,53030a3e60e37cf7ac8c82fa8aa3d0dec2ca23e33229390ccfc16f9ce7759dc9,20/08/2024 6:26
56,Megan,Daniels,charlesgreene@gmail.com,085-707-1855x3761,Finance,Engineer,31/08/2018,65194.64,5983.18,EUR,21,6,3.76,Q2 2024,07/05/2024,87f3acdcbdc335fc97b51f76ed9b4781bde513082279b971c3ed07a5a6151640,14/05/2024 10:28
57,Kyle,Keller,duarteadam@yahoo.com,(342)206-0801,Marketing,Coordinator,20/10/2022,40143.5,2308.35,EGP,4,13,1.77,Q3 2024,16/03/2024,edf298e635e113cef58b1478ccb8808d49cc758362129eb2e8412ad128520e5c,02/07/2024 14:32
58,Miguel,Gibbs,jonesdonald@anderson.com,001-608-462-8938x44539,Finance,Manager,13/12/2015,91667.52,7364.52,EUR,26,7,4.36,Q2 2024,13/07/2024,0b8661eac9684430f2277dc93fb908556d781177ef61e9cb7c26b57f7bc20302,03/03/2024 17:01
59,Daniel,Gray,olopez@becker-nichols.info,395.129.6708x6078,Marketing,Manager,28/11/2018,46571.52,3210.1,EUR,18,4,3.12,Q2 2024,21/02/2024,d5ec579fa92a51611c989b62bc2177dd2fe2f3a312c86bea3f430bada38b4e7d,24/07/2024 4:28
60,Natalie,Swanson,qmiller@hotmail.com,901-044-2609,HR,Coordinator,25/10/2022,59939.68,1947.75,EGP,4,12,2.46,Q1 2024,24/06/2024,3ba68d7a0a5a4e12b9238bd19512d188ad99e01058cb25e329b9254deb7232e4,13/08/2024 14:35
61,Molly,Yang,harrisonisabella@gmail.com,907-925-0707,Finance,Manager,22/05/2015,116811.86,5743.27,EGP,6,5,1.94,Q2 2024,24/03/2024,a913b3355b8fafa0d9983c2075350287b6858e49dc474ae1448dc3fd283fc284,04/03/2024 14:50
62,Vanessa,Riley,cassandra91@estrada-anderson.com,(174)662-6394x1338,Sales,Analyst,12/01/2021,54338.53,6747.49,EUR,6,8,2.57,Q1 2024,01/01/2024,89afcb505e64d1a5fa826d696b793e185aca2a7ac55aad4cb3e63fa42b164b72,29/07/2024 1:09
63,Judy,Williams,andersonwilliam@tucker.com,256-779-6384x0724,Sales,Engineer,03/02/2017,74003.26,3365.61,USD,29,12,2.55,Q3 2024,17/02/2024,3d032c4155a553bff4e57e70d2bdb026cbc2ba794813908d740d7b437f6977d5,07/01/2024 5:02
64,Angela,Jackson,jcollins@yahoo.com,(196)986-2119x92440,IT,Executive,08/07/2022,66514.97,8370.85,EGP,0,11,1.44,Q1 2024,24/05/2024,bc1a997d4077cb37714425b2735803b20f48721fc2e92c6b98c3e2cbd205392c,15/05/2024 3:58
65,Dennis,Davis,slopez@bell-serrano.org,001-801-559-5132x36826,Marketing,Coordinator,07/03/2016,56245.16,4240.41,USD,18,6,2.08,Q3 2024,05/04/2024,96e8ceac844afe67c73bf8ba366b75f80f585a88382c0a8e7c82b341769795b0,23/04/2024 15:20
66,Michelle,Nelson,stevensalicia@gmail.com,+1-009-624-7513x37381,Marketing,Analyst,04/05/2017,60444.98,4924.49,USD,2,6,3.77,Q1 2024,16/03/2024,a04917397d6119cb7c515cdf30435bbb6d77f20b7f2665363604a99eb93cea07,24/05/2024 4:16
67,Anne,Fry,morganblair@yahoo.com,149-685-1031,Marketing,Analyst,20/12/2021,114396.89,9701.42,EGP,6,6,4.45,Q2 2024,03/06/2024,ec35735852adbeabe950c7489b0163043bdea0c4709ee6ae259239c8f283e90e,29/04/2024 17:46
68,Joel,Williams,ryanjennifer@gmail.com,225.489.6268x854,HR,Engineer,22/12/2021,64731.65,6405.66,EGP,14,13,3.95,Q2 2024,03/01/2024,94b2768b5b5155fa601d3994ddf8c5ec066c1e8a34cfd59ce4d0dff528796fc1,07/08/2024 3:36
69,Thomas,Weber,lauragreen@yahoo.com,001-257-905-1494x6090,HR,Executive,22/01/2020,73577.09,3292.58,EUR,2,7,1.89,Q4 2023,12/04/2024,4ca9d01f987139efbc5fc1cb8e8cd7815d1801916edc11cbeed6c524809c76df,30/06/2024 23:27
70,Susan,Best,doliver@mendoza.com,(173)631-1410x28991,Sales,Executive,14/02/2023,61287.75,1881.93,EUR,8,8,3.78,Q3 2024,10/03/2024,04f47fb87bb2b0012123fcad1f8536434ae46757482f44f9671534ca72064d20,06/08/2024 19:16
71,John,Kim,michellecombs@ryan.net,411.918.7977,Sales,Coordinator,01/07/2023,81854.93,3031.89,USD,6,3,2.68,Q2 2024,30/08/2024,fe74a68a29731d92c7911bd1dcbef8d663cebbe85ff44248e832e6dd503649ea,03/07/2024 20:34
72,Tiffany,Deleon,ashleypark@sutton.net,976.686.8507x84951,Finance,Analyst,15/09/2024,36016.52,1930.44,EGP,9,13,1.96,Q1 2024,30/01/2024,0e4d1900b9475dbe7711fc2c110ec322e392db6f783533ddda88dfa4f998246c,17/08/2024 4:04
73,Ricardo,Morrison,harrisbeth@glenn.com,862.489.8905x0267,Sales,Executive,28/07/2024,98078.2,8757.12,EGP,1,5,2.58,Q2 2024,25/05/2024,7e0a54e17b3f23eb090d6e172df8b9f2038e440802b2cf4366ec64a68a6568fa,26/01/2024 8:13
74,Susan,Reeves,melissawilliamson@yahoo.com,001-495-042-9110x751,Finance,Analyst,12/11/2020,72451.95,3582.43,EUR,1,4,1.09,Q1 2024,21/09/2024,e1716e2040772696e87c1c4f0f9fea4dac948d6725d0ceb71a779eb3e6cea706,05/03/2024 23:01
75,Michael,White,christopher95@gmail.com,357-285-8706x81397,Finance,Manager,02/09/2015,100144.98,1860.13,USD,26,11,3.88,Q1 2024,05/09/2024,2349af761520bf5cca4ce8819d55bd879ea56a74ab0434720b183f83629d9d4b,09/05/2024 7:16
76,Tara,Cooper,gphillips@hotmail.com,360.967.1622x625,HR,Engineer,21/11/2015,32481,3539.73,EGP,23,13,3.92,Q2 2024,02/10/2024,e9945aaadf670c45b3b35571e5d6c52f0fe53512377f6d47be043cd56fc44bde,26/08/2024 14:08
77,Amanda,Acosta,fcook@mclaughlin.com,+1-000-206-0784x2186,Finance,Executive,13/08/2019,34170.08,5793.44,EUR,26,6,1.06,Q3 2024,09/03/2024,f9f73637e274d2ba0744885c69cad2e5a7048c95b4d25d03bb684cd54f6dd7dd,09/02/2024 23:25
78,Rebecca,Bond,kimberly61@hotmail.com,001-476-955-0246,Marketing,Manager,15/07/2022,52626.59,5389.96,USD,8,6,1.83,Q1 2024,07/01/2024,44db88f6e4c441f5ed76bbfd1c99f50c6c07b9c43134c5ec2d2982b1ceebae0b,05/02/2024 2:54
79,Steven,Rich,holly32@johnson.net,385-605-2256x29985,Sales,Engineer,26/10/2015,105952.2,2949.65,USD,10,8,2.05,Q2 2024,19/06/2024,8cdcf37c76a4059f4d40f8d05d341e43b56b50c041d62a1e592ff54d03742dd8,17/05/2024 19:08
80,Nicole,Padilla,justinharrison@gmail.com,525.149.3210x136,Sales,Analyst,05/01/2020,36061.24,1495.79,EUR,12,14,3.26,Q2 2024,18/02/2024,7c37c448673f62c27da1c074e22b441c84358cb7e8a5ee1f1734fcdb963d1b87,25/05/2024 6:09
81,Steven,Grant,mwilliams@gmail.com,(599)764-6006x89866,IT,Engineer,13/12/2015,117239.68,7606.08,EUR,30,4,1.48,Q3 2024,31/08/2024,dcff0f6f2072538e6412c3d795f63d918e28a68d3d2a25f7b928001884aff0ca,15/02/2024 14:13
82,Matthew,Pearson,howeanthony@hotmail.com,715.292.1344x018,Finance,Engineer,04/01/2020,106560.37,7138.4,USD,27,8,1.74,Q4 2023,27/02/2024,6d7bad5f7211a0bc52bccf2f6a331830df96221035136889786d072cd8066612,17/09/2024 6:30
83,Cindy,Glenn,fmason@hotmail.com,441.576.4940x50755,HR,Executive,30/05/2019,98461.52,9868.97,EGP,16,6,2.69,Q1 2024,08/04/2024,eb9608b346b8fc852f73c6544054773c74c83b055dbe7fb56cc934fe05befe87,22/09/2024 10:29
84,Brandon,Gutierrez,evan31@bryant.com,+1-019-334-3457x118,HR,Coordinator,13/07/2016,33510.82,8755.75,USD,12,4,2.4,Q4 2023,03/06/2024,d451c34e878fe12c2bd9b3632436e4d440ac1b93c45d434a6ca5a7aa0b020bd7,22/03/2024 13:51
85,Terri,Bradford,williamsjeffrey@hudson.com,(456)852-0824x8614,Sales,Coordinator,27/04/2017,35984.07,7788.99,USD,18,2,3.05,Q3 2024,20/09/2024,ec127e2a41489e18439ff11f440c433f38ef86e0fb4ca9257cae900c0010566c,19/04/2024 14:45
86,Gregory,Benjamin,mdoyle@cortez.com,+1-176-474-9025x856,Sales,Engineer,01/12/2019,66130.51,9994.68,EUR,29,0,1.73,Q4 2023,10/09/2024,779786663f8f67b10b84e1b760d01c2430fc220585711e621b4066c644078111,22/06/2024 12:54
87,Angela,Ross,stephen56@gmail.com,001-295-276-8317x460,Marketing,Executive,27/07/2024,45078.65,9554.82,USD,30,2,4.07,Q2 2024,21/07/2024,6e01f69bd68a709a02c92d67baf67de0242691fa9d2e4eb8a63693363e325b50,27/06/2024 13:20
88,Natalie,Williamson,jonathanthompson@reyes-hernandez.com,001-250-701-7557x0965,HR,Manager,07/09/2024,92489.89,3080.57,EGP,16,7,3.04,Q2 2024,10/07/2024,8f87bcf7eeeae93c34cf259f010b80921fbb45e8066c80aa73c91a53f6f30de5,09/06/2024 10:13
89,Dakota,Hall,joannaramsey@hotmail.com,718.508.6779x355,Finance,Coordinator,12/08/2019,40163.71,1126.54,EUR,15,3,4.7,Q2 2024,22/03/2024,d8b05e9e8b724f42da773cefce036db871083c573f47775966e8b1a8d3522ae8,10/05/2024 22:17
90,Yvette,Wong,chelsea90@yahoo.com,001-845-175-7038x00538,HR,Manager,11/08/2021,65682.61,8895.47,EGP,12,11,2.46,Q3 2024,05/01/2024,0d1a51e1e7b16b5c2846e30abb4f9d6899ca68ba1138124712be5846a57b012d,02/02/2024 8:40
91,Cynthia,Durham,kellibruce@walton.info,(165)399-2492,HR,Manager,30/07/2020,106438.25,6579.14,USD,15,15,1.17,Q2 2024,21/01/2024,9f79c381d696cae402e6a1e55363b0c769e8f825463d8a9a2ccade55371c52ea,22/09/2024 13:55
92,William,Boyd,emitchell@hotmail.com,281.946.6918x77481,Marketing,Executive,23/04/2020,55647.34,1678.95,EUR,19,5,1.72,Q4 2023,07/02/2024,893dfc8558383928f585bd479efd75bc755b81938b8019063e149399e80f49ef,20/02/2024 17:00
93,Christy,Kaiser,rlang@gmail.com,736-926-1295x577,HR,Engineer,04/03/2015,85133.12,2737.62,USD,9,4,3.88,Q2 2024,01/10/2024,61329bafe58d5774e731ef6b88f3e217723c3f31a873c8adf6f372650c331944,17/07/2024 11:46
94,Justin,Thomas,dmorgan@gmail.com,893.418.0221x55547,IT,Executive,15/02/2019,51973.48,5469.16,EGP,16,5,2.71,Q3 2024,18/07/2024,12defa4d6af1e076a53016aef0eed99563b2b101037646412ee715de1e51af5b,18/07/2024 12:52
95,Edwin,Mendez,kellycruz@chase.biz,-9717,IT,Manager,07/08/2015,116792.21,9280.59,EUR,26,9,3.31,Q4 2023,22/06/2024,faa28b0e2abcb04f6369a2041b54df9ba2c80e8610f22f39a1928e43d336060a,24/08/2024 23:34
96,Laura,Vaughn,lsantiago@yahoo.com,001-675-945-6818x453,HR,Executive,17/07/2021,54884.09,5674.44,EGP,12,15,1.93,Q1 2024,03/05/2024,ca79ecb874318fad88ca8aed2e104fa1663e459ffcc39d695bb76ad48e78a25b,05/01/2024 4:42
97,James,Reese,carlostate@johnson.com,143-246-1529x28681,Sales,Engineer,09/10/2016,110538.53,1633.35,USD,15,3,2.34,Q4 2023,22/08/2024,da19082fe1b656b52adbb34a49eb515521b47278f4427bf85dcbc660a9c7927c,13/08/2024 13:47
98,Deanna,Peterson,briggslisa@sampson-williams.info,+1-987-811-5152x3957,Finance,Engineer,04/01/2020,38100.16,8959.73,EUR,24,10,3.06,Q1 2024,06/07/2024,03ac29f45e5b2d51578e79e4da7750c14a4bff9c34ef3e0d4d0ab8bad8326202,01/06/2024 7:37
99,Kimberly,Martinez,shannon87@wall.com,(185)363-6296,Sales,Engineer,30/06/2022,81208.03,8244.14,EGP,8,7,2.77,Q4 2023,23/05/2024,d066756d2ad7dc19ebd9f698038b2dfffa2fe368ea9f1eb804f845ce520313de,04/02/2024 16:45
100,Adam,Robertson,barberthomas@yahoo.com,3524935879,Finance,Analyst,13/09/2018,45740.93,4634.36,EGP,28,15,2.34,Q2 2024,18/04/2024,c16907af2eb02c6a57f0851933a8ac93079cd668c42c67b32befead48ca72c1a,03/04/2024 12:27
